tt0467406,Juno,"Comedy, Drama"
tt0822832,Marley & Me,"Comedy, Drama, Family"
tt0472181,The Smurfs,"Animation, Adventure, Comedy"
tt7131622,Once Upon a Time... in Hollywood,"Comedy, Drama"
tt0295701,xXx,"Action, Adventure, Thriller"
tt0061852,The Jungle Book,"Animation, Adventure, Family"
tt0499448,The Chronicles of Narnia: Prince Caspian,"Action, Adventure, Family"
tt0077975,National Lampoon's Animal House,Comedy
tt0114148,Pocahontas,"Animation, Adventure, Drama"
tt0104257,A Few Good Men,"Drama, Thriller"
tt1010048,Slumdog Millionaire,"Drama, Romance"
tt0120812,Rush Hour,"Action, Comedy, Crime"
tt0185937,The Blair Witch Project,"Horror, Mystery"
tt0120647,Deep Impact,"Action, Drama, Romance"
tt0448115,Shazam!,"Action, Adventure, Comedy"
tt5164214,Ocean's Eight,"Action, Comedy, Crime"
tt0293564,Rush Hour 3,"Action, Comedy, Crime"
tt0097778,Look Who's Talking,Comedy
tt0164912,Stuart Little,"Adventure, Comedy, Family"
tt1397280,Taken 2,"Action, Thriller"
tt0105417,Sister Act,"Comedy, Crime, Family"
tt0242653,The Matrix Revolutions,"Action, Sci-Fi"
tt0304669,The Santa Clause 2,"Comedy, Family, Fantasy"
tt1504320,The King's Speech,"Biography, Drama, History"
tt0349205,Cheaper by the Dozen,"Comedy, Family"
tt0172156,Bad Boys II,"Action, Comedy, Crime"
tt0091763,Platoon,"Drama, War"
tt1232829,21 Jump Street,"Action, Comedy, Crime"
tt0119217,Good Will Hunting,"Drama, Romance"
tt4972582,Split,"Horror, Thriller"
tt1067106,A Christmas Carol,"Animation, Drama, Family"
tt0130623,Dinosaur,"Animation, Adventure, Family"
tt1677720,Ready Player One,"Action, Adventure, Sci-Fi"
tt1457767,The Conjuring,"Horror, Mystery, Thriller"
tt0389860,Click,"Comedy, Drama, Fantasy"
tt0120689,The Green Mile,"Crime, Drama, Fantasy"
tt0117438,Ransom,"Action, Crime, Thriller"
tt0120685,Godzilla,"Action, Sci-Fi, Thriller"
tt0115433,101 Dalmatians,"Adventure, Comedy, Crime"
tt1024648,Argo,"Biography, Drama, Thriller"
tt0305224,Anger Management,Comedy
tt0371606,Chicken Little,"Animation, Adventure, Comedy"
tt0100758,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy"
tt0075860,Close Encounters of the Third Kind,"Drama, Sci-Fi"
tt0129290,Patch Adams,"Biography, Comedy, Drama"
tt0068646,The Godfather,"Crime, Drama"
tt1408253,Ride Along,"Action, Comedy, Crime"
tt0800080,The Incredible Hulk,"Action, Adventure, Sci-Fi"
tt0337978,Live Free or Die Hard,"Action, Thriller"
tt0493464,Wanted,"Action, Crime, Fantasy"
tt2024432,Identity Thief,"Comedy, Crime, Drama"
tt0078346,Superman,"Action, Adventure, Drama"
tt0117500,The Rock,"Action, Adventure, Thriller"
tt0317919,Mission: Impossible III,"Action, Adventure, Thriller"
tt2191701,Grown Ups 2,Comedy
tt0332452,Troy,"Drama, History"
tt0808151,Angels & Demons,"Action, Mystery, Thriller"
