imdb_movies
id,title,genre
tt0015310,The Sea Hawk,"Adventure, Drama, Romance"
tt0015312,Secrets,Drama
tt0015324,La palla n° 13,"Action, Comedy, Romance"
tt0015361,Sciopero,Drama
tt0015400,Il ladro di Bagdad,"Adventure, Family, Fantasy"
tt0015493,L'ombra bianca,Drama
tt0015498,Arance selvatiche,"Drama, Romance"
tt0015500,Il vino della giovinezza,"Comedy, Drama"
tt0015518,Yolanda,Romance
tt0015532,Le avventure del principe Achmed,"Animation, Adventure, Family"
tt0015624,La grande parata,"Drama, Romance, War"
tt0015634,Body and Soul,Drama
tt0015643,Braveheart,Western
tt0015648,La corazzata Potemkin,"Drama, History, Thriller"
tt0015684,The Circle,Drama
tt0015687,Clash of the Wolves,"Adventure, Romance, Western"
tt0015693,Cobra,"Drama, Romance"
tt0015758,Don Q Son of Zorro,"Adventure, Romance"
tt0015768,L'angelo del focolare,Drama
tt0015772,Aquila nera,"Action, Comedy, Drama"
tt0015794,Il fantasma del Moulin Rouge,"Drama, Fantasy"
tt0015801,Il fu Mattia Pascal,Drama
tt0015841,Viva lo sport,"Comedy, Family, Romance"
tt0015842,La via senza gioia,Drama
tt0015847,Furusato no uta,Drama
tt0015861,La fidanzata di Glomdal,"Drama, Romance"
tt0015863,Io e la vacca,"Comedy, Western"
tt0015864,La febbre dell'oro,"Adventure, Comedy, Drama"
tt0015872,The Goose Woman,Drama
tt0015881,Rapacità,"Drama, Thriller, Western"
tt0015883,Gribiche,Drama
tt0015909,Her Sister from Paris,Comedy
tt0015935,El húsar de la muerte,"Biography, Drama, History"
tt0016004,Il ventaglio di Lady Windermere,Comedy
tt0016005,Lady of the Night,"Drama, Romance"
tt0016006,The Lady,Drama
tt0016013,Lazybones,"Action, Comedy, Drama"
tt0016023,Lights of Old Broadway,"Drama, Romance"
tt0016028,Little Annie Rooney,"Drama, Comedy"
tt0016029,Il piccolo colonnello,"Comedy, Family, Musical"
tt0016039,Un mondo perduto,"Adventure, Fantasy, Thriller"
tt0016104,La vedova allegra,"Drama, Romance"
tt0016123,The Monster,"Comedy, Horror, Mystery"
tt0016142,The Mystic,Drama
tt0016185,Orochi,"Action, Adventure"
tt0016201,Parisian Love,"Crime, Drama, Romance"
tt0016205,Paths to Paradise,"Comedy, Crime, Romance"
tt0016220,Il fantasma dell'opera,Horror
tt0016226,The Plastic Age,"Comedy, Romance, Sport"
tt0016230,Il labirinto delle passioni,"Drama, Romance"
tt0016232,Poil de carotte,Drama
tt0016240,Prem Sanyas,Drama
tt0016241,Pretty Ladies,"Comedy, Drama"
tt0016258,The Rag Man,"Drama, Comedy"
tt0016276,The Red Kimona,"Biography, Drama, Romance"
tt0016288,Riders of the Purple Sage,"Action, Drama, Western"
tt0016294,The Road to Yesterday,"Drama, Fantasy, Romance"
