1343092,The Great Gatsby,"Drama, Romance"
0111070,The Santa Clause,"Comedy, Drama, Family"
0343818,"I, Robot","Action, Drama, Sci-Fi"
0104714,Lethal Weapon 3,"Action, Crime, Thriller"
0232500,The Fast and the Furious,"Action, Crime, Thriller"
0795421,Mamma Mia!,"Comedy, Musical, Romance"
0118998,Doctor Dolile,"Comedy, Family, Fantasy"
5884052,Pokémon: Detective Pikachu,"Action, Adventure, Comedy"
1436562,Rio,"Animation, Adventure, Comedy"
2267968,Kung Fu Panda 3,"Animation, Action, Adventure"
0467406,Juno,"Comedy, Drama"
0822832,Marley & Me,"Comedy, Drama, Family"
0472181,The Smurfs,"Animation, Adventure, Comedy"
7131622,Once Upon a Time... in Hollywood,"Comedy, Drama"
0295701,xXx,"Action, Adventure, Thriller"
0061852,The Jungle Book,"Animation, Adventure, Family"
0499448,The Chronicles of Narnia: Prince Caspian,"Action, Adventure, Family"
0077975,National Lampoon's Animal House,Comedy
0114148,Pocahontas,"Animation, Adventure, Drama"
0104257,A Few Good Men,"Drama, Thriller"
1010048,Slumdog Millionaire,"Drama, Romance"
0120812,Rush Hour,"Action, Comedy, Crime"
0185937,The Blair Witch Project,"Horror, Mystery"
0120647,Deep Impact,"Action, Drama, Romance"
0448115,Shazam!,"Action, Adventure, Comedy"
5164214,Ocean's Eight,"Action, Comedy, Crime"
0293564,Rush Hour 3,"Action, Comedy, Crime"
0097778,Look Who's Talking,Comedy
0164912,Stuart Lile,"Adventure, Comedy, Family"
1397280,Taken 2,"Action, Thriller"
0105417,Sister Act,"Comedy, Crime, Family"
0242653,The Matrix Revolutions,"Action, Sci-Fi"
0304669,The Santa Clause 2,"Comedy, Family, Fantasy"
1504320,The King's Speech,"Biography, Drama, History"
0349205,Cheaper by the Dozen,"Comedy, Family"
0172156,Bad Boys II,"Action, Comedy, Crime"
0091763,Platoon,"Drama, War"
1232829,21 Jump Street,"Action, Comedy, Crime"
0119217,Good Will Hunting,"Drama, Romance"
4972582,Split,"Horror, Thriller"
1067106,A Christmas Carol,"Animation, Drama, Family"
0130623,Dinosaur,"Animation, Adventure, Family"
1677720,Ready Player One,"Action, Adventure, Sci-Fi"
1457767,The Conjuring,"Horror, Mystery, Thriller"
0389860,Click,"Comedy, Drama, Fantasy"
0120689,The Green Mile,"Crime, Drama, Fantasy"
0117438,Ransom,"Action, Crime, Thriller"
0120685,Godzilla,"Action, Sci-Fi, Thriller"
0115433,101 Dalmatians,"Adventure, Comedy, Crime"
1024648,Argo,"Biography, Drama, Thriller"
0305224,Anger Management,Comedy
0371606,Chicken Lile,"Animation, Adventure, Comedy"
0100758,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy"
0075860,Close Encounters of the Third Kind,"Drama, Sci-Fi"
0129290,Patch Adams,"Biography, Comedy, Drama"
0068646,The Godfather,"Crime, Drama"
1408253,Ride Along,"Action, Comedy, Crime"
0800080,The Incredible Hulk,"Action, Adventure, Sci-Fi"
0337978,Live Free or Die Hard,"Action, Thriller"
0493464,Wanted,"Action, Crime, Fantasy"
2024432,Identity Thief,"Comedy, Crime, Drama"
0078346,Superman,"Action, Adventure, Drama"
0117500,The Rock,"Action, Adventure, Thriller"
0317919,Mission: Impossible III,"Action, Adventure, Thriller"
2191701,Grown Ups 2,Comedy
0332452,Troy,"Drama, History"
0808151,Angels & Demons,"Action, Mystery, Thriller"
1615918,Alvin and the Chipmunks: Chipwrecked,"Animation, Adventure, Comedy"
0305669,Bringing Down the House,Comedy
1430132,The Wolverine,"Action, Adventure, Sci-Fi"
2543472,Wonder,"Drama, Family"
0407887,The Departed,"Crime, Drama, Thriller"
0286716,Hulk,"Action, Sci-Fi"
1045658,Silver Linings Playbook,"Comedy, Drama, Romance"
0181689,Minority Report,"Action, Crime, Mystery"
0486576,4: Rise of the Silver Surfer,"Action, Adventure, Fantasy"
0938283,The Last Airbender,"Action, Adventure, Family"
2357291,Rio 2,"Animation, Adventure, Comedy"
0146316,Lara Croft: Tomb Raider,"Action, Adventure, Fantasy"
0102926,The Silence of the Lambs,"Crime, Drama, Thriller"
0097523,"Honey, I Shrunk the Kids","Adventure, Comedy, Family"
0109813,The Flintstones,"Comedy, Family, Fantasy"
0122151,Lethal Weapon 4,"Action, Crime, Thriller"
0425061,Get Smart,"Action, Adventure, Comedy"
2908446,Insurgent,"Action, Adventure, Sci-Fi"
2452042,The Peanuts Movie,"Animation, Comedy, Family"
3371366,Transformers: The Last Knight,"Action, Adventure, Sci-Fi"
0765429,American Gangster,"Biography, Crime, Drama"
0169547,American Beauty,Drama
0084434,An Officer and a Gentleman,"Drama, Romance"
0298130,The Ring,"Horror, Mystery"
0117218,The Nuy Professor,"Comedy, Romance, Sci-Fi"
0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy
1289401,Ghostbusters,"Action, Comedy, Fantasy"
2802144,Kingsman: The Secret Service,"Action, Adventure, Comedy"
0358082,Robots,"Animation, Adventure, Comedy"
0094898,Coming to America,"Comedy, Romance"
0190332,Wo hu cang long,"Action, Adventure, Fantasy"
1130884,Shuer Island,"Mystery, Thriller"
2180411,Into the Woods,"Adventure, Comedy, Drama"
0089927,Rocky IV,"Drama, Sport"
0461770,Enchanted,"Animation, Comedy, Family"
